structure,z,L,energy_eV,energy_rel_eV
cof-1_z30_L000_serr,3.0,0.0,-70151.07911796884,4.434378759993706
cof-1_z30_L010_serr,3.0,1.0,-70153.95452080741,1.5589759214199148
cof-1_z30_L020_serr,3.0,2.0,-70154.88287431655,0.6306224122818094
cof-1_z30_L030_serr,3.0,3.0,-70155.02893131794,0.4845654108939925
cof-1_z30_L040_serr,3.0,4.0,-70155.18825174219,0.32524498664133716
cof-1_z30_L050_serr,3.0,5.0,-70155.21761588108,0.2958808477560524
cof-1_z30_L060_serr,3.0,6.0,-70155.11855193418,0.39494479465065524
cof-1_z30_L070_serr,3.0,7.0,-70154.68297111658,0.8305256122548599
cof-1_z30_L080_serr,3.0,8.0,-70154.98936265073,0.5241340781067265
cof-1_z30_L087_serr,3.0,8.7,-70155.16714627264,0.34635045619506855
cof-1_z31_L000_serr,3.1,0.0,-70152.45248035791,3.0610163709206972
cof-1_z31_L010_serr,3.1,1.0,-70154.53346597812,0.9800307507102843
cof-1_z31_L020_serr,3.1,2.0,-70155.26630888258,0.24718784625292756
cof-1_z31_L030_serr,3.1,3.0,-70155.3192080569,0.19428867193346377
cof-1_z31_L040_serr,3.1,4.0,-70155.39882257838,0.11467415044899099
cof-1_z31_L050_serr,3.1,5.0,-70155.34771225066,0.16578447817300912
cof-1_z31_L060_serr,3.1,6.0,-70155.19013662866,0.3233601001702482
cof-1_z31_L070_serr,3.1,7.0,-70154.82494033917,0.6885563896648819
cof-1_z31_L080_serr,3.1,8.0,-70155.0308043076,0.4826924212393351
cof-1_z31_L087_serr,3.1,8.7,-70155.15645436388,0.3570423649507575
cof-1_z32_L000_serr,3.2,0.0,-70153.38779960097,2.125697127863532
cof-1_z32_L010_serr,3.2,1.0,-70154.89525956812,0.6182371607137611
cof-1_z32_L020_serr,3.2,2.0,-70155.45876762687,0.054729101961129345
cof-1_z32_L030_serr,3.2,3.0,-70155.46064071177,0.052856017064186744
cof-1_z32_L040_serr,3.2,4.0,-70155.47889377495,0.034602953877765685
cof-1_z32_L050_serr,3.2,5.0,-70155.38940255703,0.12409417179878801
cof-1_z32_L060_serr,3.2,6.0,-70155.1885752638,0.3249214650277281
cof-1_z32_L070_serr,3.2,7.0,-70154.8726566968,0.640840032036067
cof-1_z32_L080_serr,3.2,8.0,-70155.00730153125,0.5061951975803822
cof-1_z32_L087_serr,3.2,8.7,-70155.09044359262,0.42305313621181995
cof-1_z33_L000_serr,3.3,0.0,-70153.99400645544,1.5194902733928757
cof-1_z33_L010_serr,3.3,1.0,-70155.08310838522,0.430388343607774
cof-1_z33_L020_serr,3.3,2.0,-70155.51349672883,0.0
cof-1_z33_L030_serr,3.3,3.0,-70155.4982583607,0.01523836812702939
cof-1_z33_L040_serr,3.3,4.0,-70155.47937937031,0.03411735851841513
cof-1_z33_L050_serr,3.3,5.0,-70155.35215375027,0.16134297856478952
cof-1_z33_L060_serr,3.3,6.0,-70155.139482742,0.3740139868314145
cof-1_z33_L070_serr,3.3,7.0,-70154.8641085718,0.6493881570349913
cof-1_z33_L080_serr,3.3,8.0,-70154.94331678103,0.5701799477974419
cof-1_z33_L087_serr,3.3,8.7,-70154.99791978269,0.5155769461416639
cof-1_z34_L000_serr,3.4,0.0,-70154.37225224003,1.1412444887973834
cof-1_z34_L010_serr,3.4,1.0,-70155.15267914324,0.36081758559157606
cof-1_z34_L020_serr,3.4,2.0,-70155.48243938049,0.031057348343892954
cof-1_z34_L030_serr,3.4,3.0,-70155.45488653489,0.058610193940694444
cof-1_z34_L040_serr,3.4,4.0,-70155.41199783908,0.1014988897513831
cof-1_z34_L050_serr,3.4,5.0,-70155.25542703288,0.2580696959485067
cof-1_z34_L060_serr,3.4,6.0,-70155.05019213729,0.46330459153978154
cof-1_z34_L070_serr,3.4,7.0,-70154.81569816598,0.6977985628473107
cof-1_z34_L080_serr,3.4,8.0,-70154.84521555122,0.6682811776117887
cof-1_z34_L087_serr,3.4,8.7,-70154.8886038889,0.624892839929089
cof-1_z35_L000_serr,3.5,0.0,-70154.59222311083,0.9212736180052161
cof-1_z35_L010_serr,3.5,1.0,-70155.13563880716,0.3778579216741491
cof-1_z35_L020_serr,3.5,2.0,-70155.40035899312,0.11313773570873309
cof-1_z35_L030_serr,3.5,3.0,-70155.36186363822,0.15163309061608743
cof-1_z35_L040_serr,3.5,4.0,-70155.30338359905,0.2101131297822576
cof-1_z35_L050_serr,3.5,5.0,-70155.14318468512,0.3703120437130565
cof-1_z35_L060_serr,3.5,6.0,-70154.94345309646,0.5700436323677422
cof-1_z35_L070_serr,3.5,7.0,-70154.74295715085,0.7705395779776154
